,model_name,dataset,atk_name,atk_param,eps,nb_epoch,top1acc,top5acc,UER,label_dist0,label_dist1,label_dist2,label_dist3,label_dist4,label_dist5,label_dist6,label_dist7,label_dist8,label_dist9,tgt_success
20,resnet20_Q2,svhn,sgd-tgt,2,6,10,0.7050553165334973,0.9620851259987708,0.2949446834665027,0.047672095881991394,0.10613859864781806,0.4048094652735095,0.09307775046097112,0.06664874001229258,0.06952980946527351,0.05235863552550707,0.06372925629993853,0.0515519360786724,0.04448371235402582,0.4048094652735095
21,resnet20_Q2,svhn,sgd-tgt,2,8,10,0.5401813153042411,0.9338122311001844,0.459818684695759,0.034380762138905965,0.06388291333743086,0.5735248924400738,0.07244929317762754,0.047172710510141366,0.049823294406883836,0.03998924400737554,0.041948371235402585,0.042332513829133375,0.0344960049170252,0.5735248924400738
22,resnet20_Q2,svhn,sgd-tgt,2,10,10,0.44403042409342347,0.8831054087277197,0.5559695759065766,0.02531499692685925,0.03872157344806392,0.6678318992009834,0.07248770743700061,0.027927166564228643,0.041180086047941,0.02938690842040565,0.03922095881991395,0.03280577750460971,0.025122925629993853,0.6678318992009834
23,resnet20_Q2,svhn,sgd-tgt,2,12,10,0.3483020897357099,0.8410802089735709,0.6516979102642901,0.017017516902274123,0.02308696988322065,0.7812692071296865,0.04552089735709895,0.020590043023970498,0.029655808236017205,0.021281499692685925,0.022280270436385988,0.02308696988322065,0.01621081745543946,0.7812692071296865
24,resnet20_Q2,svhn,sgd-tgt,3,2,10,0.9418792255685309,0.9943146896127842,0.05812077443146901,0.06568838352796558,0.19076521204671174,0.16107098955132146,0.11896896127842654,0.094960049170252,0.0920021511985249,0.07463890596189306,0.07805777504609711,0.06177012907191149,0.06207744314689612,0.11896896127842654
25,resnet20_Q2,svhn,sgd-tgt,3,4,10,0.8557160417947142,0.98789950829748,0.14428395820528586,0.0584280885064536,0.1563460356484327,0.1478180700676091,0.1979102642901045,0.08731561155500922,0.0945759065765212,0.06826213890596189,0.07283343577135833,0.058543331284572835,0.057967117393976635,0.1979102642901045
26,resnet20_Q2,svhn,sgd-tgt,3,6,10,0.7064766441303012,0.9675399508297479,0.2935233558696988,0.045981868469575915,0.10356484326982177,0.1313383527965581,0.3456899200983405,0.06365242778119237,0.09023509526736324,0.05988783036263061,0.061693300553165326,0.05116779348494161,0.04678856791641057,0.3456899200983405
27,resnet20_Q2,svhn,sgd-tgt,3,8,10,0.5286954517516902,0.9292025199754148,0.4713045482483098,0.03280577750460971,0.054663491087891834,0.09565150583896742,0.5237784265519361,0.04294714197910264,0.08428088506453596,0.04287031346035648,0.04463736939151813,0.041679471419791024,0.03668561770129072,0.5237784265519361
28,resnet20_Q2,svhn,sgd-tgt,3,10,10,0.3736170866625692,0.8671250768285187,0.6263829133374308,0.02074370006146281,0.026659496004917026,0.06634142593730794,0.7026352181929932,0.02120467117393977,0.049208666256914564,0.03119237861094038,0.02808082360172096,0.0304240934234788,0.023509526736324525,0.7026352181929932
29,resnet20_Q2,svhn,sgd-tgt,3,12,10,0.3055854333128457,0.8439996926859251,0.6944145666871543,0.014635832821143209,0.01882298709280885,0.05462507682851875,0.7813844499078058,0.015019975414874,0.03503380454824831,0.02431622618315919,0.014789489858635525,0.02508451137062077,0.016287645974185614,0.7813844499078058
30,resnet20_Q2,svhn,sgd-tgt,4,2,10,0.9445298094652737,0.994237861094038,0.05547019053472646,0.06503534111862322,0.19226336816226186,0.1635679164105716,0.11170866625691456,0.09933927473878304,0.0912338660110633,0.07663644744929317,0.07736631837738167,0.06073294406883836,0.06211585740626921,0.09933927473878304
31,resnet20_Q2,svhn,sgd-tgt,4,4,10,0.8723110018438844,0.98939766441303,0.12768899815611556,0.059580516287645977,0.1520820528580209,0.16176244622003688,0.11078672403196066,0.15964966195451752,0.09207897971727104,0.07690534726490474,0.0723340503995083,0.056315304240934234,0.05850491702519976,0.15964966195451752
32,resnet20_Q2,svhn,sgd-tgt,4,6,10,0.7133912108174555,0.9692685925015364,0.2866087891825445,0.044944683466502766,0.07686693300553166,0.1409419176398279,0.09684234787953287,0.31576521204671176,0.09184849416103258,0.07056699446834665,0.06023355869698833,0.04805623847572218,0.05393362015980332,0.31576521204671176
33,resnet20_Q2,svhn,sgd-tgt,4,8,10,0.5626536570374924,0.9285878918254457,0.4373463429625076,0.03103872157344806,0.043753841425937315,0.11228488014751076,0.08251382913337431,0.4627381684081131,0.08746926859250154,0.05850491702519976,0.04371542716656423,0.03718500307314075,0.040795943454210205,0.4627381684081131
34,resnet20_Q2,svhn,sgd-tgt,4,10,10,0.44572065150583895,0.8912492317148125,0.5542793484941609,0.024047326367547632,0.02731253841425937,0.08535648432698217,0.06979870928088508,0.5898125384142594,0.07463890596189306,0.04463736939151813,0.030500921942224955,0.0248540258143823,0.029041180086047936,0.5898125384142594
35,resnet20_Q2,svhn,sgd-tgt,4,12,10,0.34081130915795943,0.8294791026429009,0.6591886908420406,0.016633374308543333,0.01820835894283958,0.06315304240934234,0.04782575291948371,0.7179240934234788,0.04467578365089121,0.03453441917639828,0.018093116164720344,0.01897664413030117,0.019975414874001233,0.7179240934234788
36,resnet20_Q2,svhn,sgd-tgt,5,2,10,0.9420712968653964,0.9942762753534112,0.05792870313460353,0.06349877074370006,0.1906883835279656,0.1604179471419791,0.11512753534111862,0.09492163491087892,0.09557467732022126,0.0760218192993239,0.07805777504609711,0.06207744314689612,0.0636140135218193,0.09557467732022126
37,resnet20_Q2,svhn,sgd-tgt,5,4,10,0.8532191149354641,0.9863245236631838,0.1467808850645359,0.05385679164105716,0.15603872157344806,0.14847111247695144,0.14063460356484328,0.08750768285187463,0.15131376767055932,0.07221880762138906,0.07448524892440074,0.05454824830977259,0.06092501536570375,0.15131376767055932
38,resnet20_Q2,svhn,sgd-tgt,5,6,10,0.6817762753534112,0.9591656422864168,0.3182237246465888,0.04240934234787953,0.10056853103872156,0.12023663183773815,0.1372157344806392,0.0656499692685925,0.3226029502151199,0.05658420405654579,0.05869698832206515,0.04448371235402582,0.0515519360786724,0.3226029502151199
39,resnet20_Q2,svhn,sgd-tgt,5,8,10,0.4783343577135833,0.8902888752304856,0.5216656422864168,0.021166256914566688,0.0421020282728949,0.08785341118623233,0.14232483097725876,0.04567455439459128,0.5069913952059004,0.042332513829133375,0.03983558696988322,0.029847879532882607,0.04187154271665642,0.5069913952059004
40,resnet20_Q2,svhn,sgd-tgt,5,10,10,0.3577904118008605,0.8422326367547633,0.6422095881991395,0.012215734480639213,0.02085894283958205,0.06445912722802705,0.12046711739397666,0.030462507682851882,0.6412492317148125,0.028388137676705588,0.024585125998770743,0.02231868469575907,0.03499539028887523,0.6412492317148125
41,resnet20_Q2,svhn,sgd-tgt,5,12,10,0.2932160417947142,0.8131146281499693,0.7067839582052857,0.007529194837123541,0.011562692071296864,0.057506146281499686,0.08877535341118624,0.024008912108174556,0.7248770743700061,0.023778426551936082,0.01551936078672403,0.01770897357098955,0.028733866011063307,0.7248770743700061
42,resnet20_Q2,svhn,sgd-tgt,6,2,10,0.944760295021512,0.994583589428396,0.05523970497848807,0.06645666871542717,0.1930316533497234,0.15968807621389058,0.11155500921942224,0.09565150583896742,0.0918100799016595,0.08259065765212048,0.07763521819299324,0.059964658881376774,0.06161647203441916,0.08259065765212048
43,resnet20_Q2,svhn,sgd-tgt,6,4,10,0.8638598647818071,0.9878226797787338,0.136140135218193,0.06538106945298094,0.15711432083589427,0.14628149969268592,0.11374462200368775,0.0914643515673018,0.09484480639213276,0.14555162876459746,0.0716041794714198,0.057467732022126614,0.056545789797172716,0.14555162876459746
44,resnet20_Q2,svhn,sgd-tgt,6,6,10,0.6641825445605408,0.9438767670559312,0.3358174554394592,0.04114167178856792,0.08205285802089736,0.11216963736939152,0.11531960663798403,0.07590657652120468,0.1014520590043024,0.32129686539643515,0.055278119237861086,0.04959280885064536,0.04578979717271051,0.32129686539643515
45,resnet20_Q2,svhn,sgd-tgt,6,8,10,0.4936616472034419,0.8819529809465273,0.5063383527965581,0.02769668100799016,0.04356177012907191,0.08189920098340504,0.09522894898586357,0.05051475107559926,0.0968039336201598,0.4900891210817456,0.038529502151198526,0.04114167178856792,0.03453441917639828,0.4900891210817456
46,resnet20_Q2,svhn,sgd-tgt,6,10,10,0.3762676705593116,0.8317455439459127,0.6237323294406885,0.02258758451137062,0.025583896742470802,0.0611939151813153,0.0580439459127228,0.03941303011677935,0.08186078672403196,0.6262292562999385,0.029002765826674864,0.03242163491087892,0.02366318377381684,0.6262292562999385
47,resnet20_Q2,svhn,sgd-tgt,6,12,10,0.2744698832206515,0.7654041180086048,0.7255301167793484,0.01067916410571604,0.010986478180700676,0.042716656422864166,0.054778733866011065,0.02201137062077443,0.07686693300553166,0.7231484326982176,0.01621081745543946,0.025737553779963118,0.01686385986478181,0.7231484326982176
48,resnet20_Q2,svhn,sgd-tgt,7,2,10,0.9426475107559926,0.994237861094038,0.057352489244007376,0.06488168408113093,0.1919560540872772,0.1648355869698832,0.11094038106945298,0.094960049170252,0.09138752304855564,0.07575291948371235,0.08193761524277812,0.06073294406883836,0.06261524277811924,0.08193761524277812
