,model_name,dataset,atk_name,atk_param,eps,nb_epoch,top1acc,top5acc,UER,label_dist0,label_dist1,label_dist2,label_dist3,label_dist4,label_dist5,label_dist6,label_dist7,label_dist8,label_dist9,tgt_success
48,resnet20_Q2,cifar10,sgd-tgt,7,2,10,0.8911,0.9965,0.1089,0.0957,0.0993,0.1007,0.0936,0.1095,0.10300000000000001,0.1038,0.0934,0.1024,0.0986,0.0934
49,resnet20_Q2,cifar10,sgd-tgt,7,4,10,0.8327,0.9903,0.1673,0.0723,0.0949,0.11,0.0894,0.1095,0.0911,0.1301,0.0957,0.1062,0.1008,0.0957
50,resnet20_Q2,cifar10,sgd-tgt,7,6,10,0.7358,0.9745,0.2642,0.0575,0.0867,0.1303,0.0667,0.1161,0.0636,0.1245,0.16,0.0916,0.10300000000000001,0.16
51,resnet20_Q2,cifar10,sgd-tgt,7,8,10,0.6365,0.9376,0.3635000000000001,0.0358,0.0918,0.0984,0.0524,0.1191,0.0537,0.1416,0.2268,0.0704,0.11,0.2268
52,resnet20_Q2,cifar10,sgd-tgt,7,10,10,0.4793,0.9099,0.5206999999999999,0.0226,0.0667,0.1321,0.0195,0.0847,0.0219,0.1191,0.4068,0.0489,0.0777,0.4068
53,resnet20_Q2,cifar10,sgd-tgt,7,12,10,0.3674,0.8896,0.6326,0.0124,0.0462,0.0604,0.0137,0.0701,0.0147,0.0868,0.5789,0.0401,0.0767,0.5789
54,resnet20_Q2,cifar10,sgd-tgt,8,2,10,0.8784,0.9961,0.12160000000000006,0.0861,0.0953,0.0949,0.0868,0.11599999999999999,0.1061,0.1051,0.0938,0.1126,0.1033,0.1126
55,resnet20_Q2,cifar10,sgd-tgt,8,4,10,0.8140000000000001,0.9913,0.18600000000000005,0.0589,0.0899,0.0937,0.0865,0.1357,0.0869,0.1185,0.0824,0.1401,0.1074,0.1401
56,resnet20_Q2,cifar10,sgd-tgt,8,6,10,0.6986,0.9744,0.3014,0.0397,0.0776,0.0736,0.0756,0.1161,0.0581,0.1613,0.0725,0.2257,0.0998,0.2257
57,resnet20_Q2,cifar10,sgd-tgt,8,8,10,0.6038,0.9471,0.3962,0.0323,0.0582,0.0803,0.0904,0.1218,0.0365,0.2137,0.0575,0.2227,0.0866,0.2227
