,model_name,dataset,atk_name,atk_param,eps,top1acc,top5acc,UER,label_dist0,label_dist1,label_dist2,label_dist3,label_dist4,label_dist5,label_dist6,label_dist7,label_dist8,label_dist9
11,resnet20_Q3,cifar10,random,-1,12,0.6605,0.9552,0.3395,0.0554,0.0741,0.1372,0.0643,0.1186,0.0307,0.2613,0.0659,0.1005,0.092
12,resnet20_Q3,svhn,chess,-1,2,0.9523279041180086,0.994737246465888,0.047672095881991394,0.06561155500921942,0.19744929317762752,0.16253073140749846,0.1110556238475722,0.09707283343577136,0.0905039950829748,0.07498463429625077,0.07667486170866626,0.06349877074370006,0.06061770129071911
13,resnet20_Q3,svhn,chess,-1,4,0.9522126613398894,0.994737246465888,0.04778733866011065,0.06572679778733866,0.1979486785494776,0.16195451751690226,0.11136293792255686,0.0969960049170252,0.09061923786109403,0.07513829133374307,0.07617547633681622,0.06357559926244621,0.060502458512599874
14,resnet20_Q3,svhn,chess,-1,6,0.9528657037492316,0.9947756607252612,0.04713429625076826,0.06595728334357713,0.1969499078057775,0.16233866011063305,0.1116318377381684,0.09695759065765212,0.09027350952673632,0.0754840196681008,0.07713583282114321,0.06334511370620774,0.05992624462200369
15,resnet20_Q3,svhn,chess,-1,8,0.9523663183773816,0.9946988322065151,0.047633681622618274,0.0658420405654579,0.1980639213275968,0.16249231714812534,0.11140135218192994,0.0971880762138906,0.09077289489858636,0.07479256299938537,0.07586816226183159,0.06303779963122311,0.06054087277197295
16,resnet20_Q3,svhn,chess,-1,10,0.952942532267978,0.9948524892440074,0.04705746773202213,0.06580362630608481,0.19779502151198525,0.16195451751690226,0.11216963736939152,0.09688076213890597,0.09035033804548248,0.07479256299938537,0.07655961893054702,0.0634219422249539,0.0602719729563614
17,resnet20_Q3,svhn,chess,-1,12,0.9522894898586356,0.9943146896127842,0.04771051014136452,0.06541948371235402,0.1975645359557468,0.16264597418561771,0.11178549477566073,0.0966118623232944,0.09077289489858636,0.07533036263060848,0.07636754763368163,0.06315304240934234,0.060348801475107565
18,resnet20_Q3,svhn,random,-1,2,0.9527504609711124,0.9946220036877688,0.04724953902888751,0.06595728334357713,0.1975645359557468,0.16206976029502151,0.11097879532882604,0.0968039336201598,0.09131069452980947,0.07494622003687769,0.07606023355869697,0.06395974185617702,0.060348801475107565
19,resnet20_Q3,svhn,random,-1,4,0.9512138905961892,0.9945067609096496,0.048786109403810674,0.0654578979717271,0.1974877074370006,0.16279963122311006,0.11082513829133374,0.09711124769514444,0.09100338045482484,0.07533036263060848,0.07582974800245851,0.06334511370620774,0.060809772587584514
20,resnet20_Q3,svhn,random,-1,6,0.94910110633067,0.9947756607252612,0.050898893669330085,0.06522741241548863,0.1974877074370006,0.16310694529809466,0.1112861094038107,0.09638137676705594,0.09073448063921327,0.07575291948371235,0.07556084818684695,0.06357559926244621,0.06088660110633067
21,resnet20_Q3,svhn,random,-1,8,0.946757836508912,0.994583589428396,0.0532421634910879,0.06488168408113093,0.19760295021511987,0.1629917025199754,0.1105178242163491,0.09634296250768286,0.09119545175169022,0.07606023355869697,0.07540719114935464,0.06376767055931162,0.06123232944068839
22,resnet20_Q3,svhn,random,-1,10,0.9439920098340504,0.9941226183159187,0.0560079901659496,0.06349877074370006,0.19744929317762752,0.16372157344806393,0.11086355255070683,0.0962661339889367,0.09131069452980947,0.07613706207744314,0.07533036263060848,0.06438229870928089,0.06104025814382299
23,resnet20_Q3,svhn,random,-1,12,0.9388060848186848,0.993661647203442,0.06119391518131534,0.06292255685310387,0.19687307928703132,0.1633758451137062,0.11213122311001844,0.0969960049170252,0.0921558082360172,0.07582974800245851,0.07486939151813153,0.06415181315304241,0.06069452980946528
0,resnet20_Q4,cifar10,chess,-1,2,0.8089,0.9867,0.19110000000000005,0.0945,0.0956,0.11599999999999999,0.1762,0.0776,0.0674,0.1153,0.0776,0.0914,0.0884
